date,walcl,cpi,gdp,unemp,fedfunds,unrate
2015-04,0.22241817948174658,0.06685299894243846,0.16027790752017945,0.1696428571428572,0.0231023102310231,0.1696428571428572
2015-05,0.22193225792989602,0.07862214836077985,0.1642647464071525,0.1875,0.0231023102310231,0.1875
2015-06,0.22184439831415714,0.08853301102885647,0.16825158529412554,0.1607142857142857,0.0264026402640264,0.1607142857142857
2015-07,0.22340091909252113,0.0942287354585285,0.17223842418109858,0.1517857142857143,0.0264026402640264,0.1517857142857143
2015-08,0.22278674600054893,0.09421362743616823,0.17312268690263255,0.14285714285714285,0.029702970297029705,0.14285714285714285
2015-09,0.22282636333297512,0.08613083547363631,0.17400694962416674,0.13392857142857145,0.029702970297029705,0.13392857142857145
2015-10,0.22468876090134826,0.08968122072820695,0.1748912123457005,0.13392857142857145,0.0231023102310231,0.13392857142857145
2015-11,0.22311881966459213,0.09397189907841064,0.17817307709909191,0.14285714285714285,0.0231023102310231,0.14285714285714285
2015-12,0.22309459843521107,0.09010424535428285,0.18145494185248312,0.13392857142857145,0.0627062706270627,0.13392857142857145
2016-01,0.2237266132520238,0.08845747091705691,0.18473680660587455,0.11607142857142855,0.09570957095709572,0.11607142857142855
2016-02,0.22301764402982593,0.08368333585133714,0.19129550209182944,0.12500000000000006,0.1089108910891089,0.12500000000000006
2016-03,0.22276004433625096,0.09492370448708298,0.1978541975777841,0.13392857142857145,0.1023102310231023,0.13392857142857145
2016-04,0.22325245853528752,0.10870222087928694,0.20441289306373878,0.14285714285714285,0.1056105610561056,0.14285714285714285
2016-05,0.2207258527158652,0.11723825351261485,0.21018061362672125,0.11607142857142855,0.1056105610561056,0.11607142857142855
2016-06,0.2201367015550716,0.12728508838193076,0.2159483341897035,0.12500000000000006,0.1089108910891089,0.12500000000000006
2016-07,0.2206277232292425,0.12545701767638606,0.22171605475268596,0.11607142857142855,0.11221122112211221,0.11607142857142855
2016-08,0.21970856978514341,0.13216497960416973,0.22849550789327422,0.12500000000000006,0.11551155115511552,0.12500000000000006
2016-09,0.2196610063577028,0.14169814171324946,0.23527496103386292,0.13392857142857145,0.11551155115511552,0.13392857142857145
2016-10,0.21847518440184155,0.15023417434657826,0.24205441417445117,0.12500000000000006,0.11551155115511552,0.12500000000000006
2016-11,0.2176180766437853,0.15453996071914178,0.24839632993831495,0.10714285714285715,0.1188118811881188,0.10714285714285715
2016-12,0.21853253901974345,0.16377096238102418,0.2547382457021783,0.10714285714285715,0.16171617161716173,0.10714285714285715
2017-01,0.21762195830684816,0.17859193231605985,0.26108016146604207,0.10714285714285715,0.19801980198019803,0.10714285714285715
2017-02,0.21824376417573987,0.18445384499169037,0.2665828038693383,0.0982142857142857,0.20132013201320131,0.0982142857142857
2017-03,0.21975535862062745,0.18273153044266488,0.2720854462726354,0.0803571428571429,0.2442244224422442,0.0803571428571429
2017-04,0.22150936553477452,0.18727904517298688,0.27758808867593165,0.0803571428571429,0.28052805280528054,0.0803571428571429
2017-05,0.22000914627738277,0.18442362894697073,0.28664897413696133,0.0803571428571429,0.2838283828382839,0.0803571428571429
2017-06,0.22010718002792096,0.18682580450219088,0.295709859597991,0.0714285714285714,0.32673267326732675,0.0714285714285714
2017-07,0.22010043498560328,0.1880344462909802,0.3047707450590207,0.0714285714285714,0.36303630363036304,0.0714285714285714
2017-08,0.2190489307563095,0.20223598730926096,0.3164881853995376,0.0803571428571429,0.36633663366336633,0.0803571428571429
2017-09,0.21847831758278913,0.2211512313038222,0.3282056257400541,0.0714285714285714,0.36303630363036304,0.0714285714285714
2017-10,0.21899146299576222,0.224036863574558,0.33992306608057055,0.0625,0.36303630363036304,0.0625
2017-11,0.21685354567945003,0.23397794228735425,0.3491017405883876,0.0625,0.36633663366336633,0.0625
2017-12,0.21617799705402663,0.24184922193684866,0.3582804150962051,0.05357142857142855,0.4125412541254126,0.05357142857142855
2018-01,0.21467883959684497,0.2577730775041549,0.3674590896040222,0.04464285714285715,0.44884488448844884,0.04464285714285715
2018-02,0.2107229984750547,0.26789545248526947,0.3785378429523498,0.05357142857142855,0.4521452145214521,0.05357142857142855
2018-03,0.20794256148247503,0.2686206375585436,0.3896165963006779,0.04464285714285715,0.48184818481848185,0.04464285714285715
2018-04,0.20497482989547233,0.2784408520924613,0.40069534964900555,0.04464285714285715,0.5412541254125413,0.04464285714285715
2018-05,0.1982226073713913,0.2869768847257892,0.408337239686559,0.0267857142857143,0.5445544554455446,0.0267857142857143
2018-06,0.1935259691309439,0.29039129777912054,0.41597912972411155,0.04464285714285715,0.5841584158415842,0.04464285714285715
2018-07,0.18851187873754216,0.2933524701616559,0.423621019761665,0.0267857142857143,0.6138613861386139,0.0267857142857143
2018-08,0.17989607499895233,0.3001359722012391,0.4282674913918245,0.0267857142857143,0.6138613861386139,0.0267857142857143
2018-09,0.17415211880708836,0.30797703580601254,0.43291396302198404,0.017857142857142905,0.6270627062706271,0.017857142857142905
2018-10,0.1676947025003349,0.3168907689983378,0.43756043465214356,0.0267857142857143,0.7062706270627063,0.0267857142857143
2018-11,0.1598317412204897,0.3142015410182806,0.4443833282242129,0.0267857142857143,0.7095709570957096,0.0267857142857143
2018-12,0.1530027992795947,0.3168152288865387,0.4512062217962822,0.0357142857142857,0.7326732673267327,0.0357142857142857
2019-01,0.14721964351276406,0.31607493579090473,0.45802911536835156,0.04464285714285715,0.7755775577557755,0.04464285714285715
2019-02,0.13892624409368193,0.3252001812962684,0.46715945623563115,0.0267857142857143,0.7755775577557755,0.0267857142857143
2019-03,0.13232336986143634,0.3384952409729567,0.4762897971029103,0.0267857142857143,0.778877887788779,0.0267857142857143
2019-04,0.12681136479577904,0.3537392355340687,0.4854201379701899,0.008928571428571452,0.7821782178217822,0.008928571428571452
2019-05,0.11612525952638231,0.3549327693004982,0.4945514645198692,0.017857142857142905,0.7722772277227723,0.017857142857142905
2019-06,0.11097313510567808,0.35295361837135486,0.5036827910695485,0.008928571428571452,0.768976897689769,0.008928571428571452
2019-07,0.10430094794824729,0.3609004381326484,0.5128141176192278,0.017857142857142905,0.7755775577557755,0.017857142857142905
2019-08,0.09895999715576798,0.3665508384952414,0.5189638253151121,0.017857142857142905,0.6864686468646864,0.017857142857142905
2019-09,0.1051052964204583,0.37337966460190364,0.5251135330109964,0.0,0.6567656765676568,0.0
2019-10,0.13326184458804569,0.384453844991691,0.5312632407068807,0.008928571428571452,0.5874587458745875,0.008928571428571452
2019-11,0.14587398581217337,0.39289922949085954,0.5253315448360873,0.008928571428571452,0.49504950495049505,0.008928571428571452
2019-12,0.15864087136199068,0.4051820516694362,0.519399848965294,0.008928571428571452,0.49504950495049505,0.008928571428571452
2020-01,0.16618746839893273,0.41154252908294264,0.5134681530945007,0.0,0.49504950495049505,0.0
2020-02,0.1680305359815153,0.41473032180087577,0.44653676264443964,0.0,0.504950495049505,0.0
2020-03,0.24619926656585656,0.3977489046683793,0.3796053721943782,0.0803571428571429,0.19801980198019803,0.0803571428571429
2020-04,0.5385186085491191,0.3670494032331164,0.31267398174431715,1.0,0.0,1.0
2020-05,0.6515246558929628,0.36366520622450516,0.3734235946175546,0.8660714285714286,0.0,0.8660714285714286
2020-06,0.6828966745244234,0.3805559752228431,0.434173207490792,0.6696428571428572,0.0099009900990099,0.6696428571428572
2020-07,0.6537656026427685,0.40007554011179947,0.49492282036402946,0.5982142857142857,0.013201320132013198,0.5982142857142857
2020-08,0.656457153032521,0.41719292944553565,0.5069720132379967,0.4375,0.016501650165016504,0.4375
2020-09,0.6690737677427794,0.4265296872639368,0.519021206111963,0.3928571428571429,0.013201320132013198,0.3928571428571429
2020-10,0.6845720995197486,0.4304124490104244,0.5310703989859298,0.3035714285714286,0.013201320132013198,0.3035714285714286
